Gender,Age,Tenure,Phone,Streaming,Unlimited,Charge,Satisfaction,Churn
0,67,8,0,1,0,80.45,1,0
1,69,13,0,0,0,100.8,1,0
0,75,10,0,0,0,79.25,1,0
0,67,5,0,1,0,89.5,2,0
0,66,1,0,1,0,86.05,1,0
1,67,10,1,0,0,34.7,1,0
0,71,53,0,1,1,60.05,1,0
0,74,16,0,1,0,74.3,1,0
1,70,9,0,1,0,74.55,1,0
0,76,32,0,0,0,104.9,1,0
0,67,1,0,1,1,74.4,3,0
0,80,8,0,1,0,69.7,1,0
1,67,12,0,1,0,98.1,3,0
1,68,4,0,0,0,99.6,1,0
0,69,70,0,0,0,102.95,1,0
1,80,1,0,1,0,71,3,0
1,73,47,0,1,0,70.55,3,0
1,73,1,0,1,0,69.25,1,0
0,65,12,0,1,1,83.8,1,0
0,73,53,1,1,0,54.45,2,0
0,78,41,0,0,0,99.8,1,0
0,68,5,0,1,0,70.25,2,0
0,65,69,0,1,1,89.95,1,0
0,67,14,0,1,0,74.95,3,0
1,70,32,0,1,0,74.4,1,0
1,69,50,0,1,0,71.05,3,0
1,73,2,1,1,0,30.4,1,0
0,74,23,0,0,0,106.4,1,0
1,78,2,0,1,0,85.55,3,0
0,77,30,0,1,0,79.65,3,0
1,70,1,0,1,1,19.45,1,0
1,78,32,0,1,0,85.95,3,0
1,75,16,0,1,0,59.4,1,0
1,75,38,0,0,0,99.55,1,0
0,76,2,0,0,0,95.1,3,0
0,70,17,0,1,0,81.5,2,0
0,67,3,1,1,0,36.45,1,0
1,69,1,1,1,0,25.05,1,0
1,70,43,1,0,0,55.55,1,0
0,74,10,0,0,0,86.65,1,0
1,77,37,0,0,0,106.75,1,0
0,66,12,0,0,0,101.35,1,0
0,70,35,0,1,1,95.45,2,0
1,68,1,0,1,0,69.6,2,0
1,65,1,0,1,0,78.45,1,0
1,76,9,0,0,0,84.45,3,0
0,73,38,0,1,0,70.15,3,0
0,70,51,0,1,0,97.8,2,0
1,68,5,0,1,0,83.15,3,0
1,77,2,0,1,0,75.45,3,0
1,73,2,0,1,0,54.85,1,0
0,71,1,0,0,0,95.1,1,0
0,69,53,0,0,0,101.9,1,0
0,80,51,0,1,0,93.8,1,0
0,66,72,0,0,0,104.15,3,0
0,79,5,0,0,0,91.4,1,0
0,80,1,0,1,0,75.35,3,0
1,78,11,0,1,0,84.8,2,0
1,67,50,0,1,1,95.05,3,0
0,73,5,0,1,0,50.35,1,0
0,75,5,0,0,0,89.8,1,0
0,67,9,0,0,0,99.45,1,0
1,75,2,0,1,0,70.2,1,0
0,80,51,0,1,0,84.2,2,0
0,72,26,0,0,1,105.75,1,0
1,70,18,1,1,0,48.35,2,0
1,73,1,0,1,0,49.55,1,0
1,75,2,0,1,0,50.15,1,0
0,70,29,0,0,1,95.9,3,0
1,77,1,1,1,0,25.25,2,0
0,80,46,0,0,0,101,1,0
1,78,1,0,1,1,71.15,3,0
1,69,20,0,1,0,79.15,1,0
0,71,46,0,0,1,80.4,3,0
0,70,2,0,0,0,93.85,1,0
1,66,1,0,1,0,55.8,1,0
0,77,41,0,0,0,98.4,1,0
0,71,66,0,1,1,79.4,1,0
0,68,35,0,0,0,101.4,3,0
0,71,10,0,1,0,89.8,2,0
1,79,26,0,0,0,91.25,3,0
1,80,18,0,1,0,85.45,1,0
0,65,1,0,1,0,71.65,2,0
1,70,1,0,1,0,74.2,2,0
0,68,43,0,0,1,101,1,0
0,80,25,0,0,0,89.05,1,0
0,77,36,0,0,0,96.5,3,0
0,65,1,0,1,0,70.85,2,0
0,66,41,0,1,0,111.95,2,0
0,70,1,0,1,0,69.1,3,0
1,69,2,0,1,0,78.55,2,0
0,66,49,0,1,0,96.2,2,0
1,75,6,0,1,1,74.4,1,0
1,75,7,0,0,0,84.55,1,0
1,67,20,0,0,0,85.8,1,0
1,75,54,0,1,0,101.5,2,0
1,74,2,0,1,0,69.6,3,0
1,74,30,1,1,1,40.3,2,0
0,67,58,0,0,0,98.7,1,0
1,74,68,0,0,0,100.2,1,0
1,69,24,0,1,0,93.55,2,0
0,70,27,0,0,0,95.55,1,0
1,79,2,1,1,0,24.35,1,0
1,76,29,0,0,0,98.65,1,0
0,78,5,0,1,1,79.9,2,0
1,79,28,0,1,0,103.3,2,0
0,73,24,0,0,0,102.95,3,0
1,74,43,0,1,0,109.55,2,0
0,73,2,0,1,0,66.4,1,0
0,71,66,0,1,0,100.05,2,0
1,68,66,0,1,0,105.95,2,0
1,70,31,0,1,0,73.9,1,0
1,66,37,0,1,0,96.55,2,0
0,65,24,0,0,0,101.25,3,0
0,78,2,0,1,0,44.15,2,0
1,74,8,0,1,0,75.75,3,0
0,78,1,0,1,0,80.3,1,0
1,79,9,0,1,0,80.85,2,0
1,76,49,0,1,0,90.85,2,0
0,67,1,1,1,0,25.1,3,0
1,80,17,0,1,0,89.15,1,0
0,77,3,0,1,0,79.9,2,0
1,73,30,0,0,1,99.7,1,0
0,74,41,0,1,0,83.75,1,0
1,76,42,0,1,0,74.15,1,0
1,78,72,0,0,0,92.45,1,0
1,78,11,0,0,0,99.55,3,0
0,66,8,0,1,0,81.25,1,0
1,69,1,0,1,0,50.55,1,0
1,74,27,0,0,0,85.25,1,0
1,68,1,0,0,0,85.05,1,0
1,68,54,0,1,0,79.5,1,0
1,68,4,0,1,0,74.9,1,0
1,75,25,0,0,0,102.8,1,0
0,73,9,0,0,0,83.85,1,0
1,72,27,0,0,0,88.3,3,0
1,68,56,0,0,1,100.65,1,0
1,74,66,0,0,0,80.55,3,0
0,71,24,0,1,0,78.85,1,0
0,75,24,1,0,0,39.1,1,0
1,66,65,0,0,0,106.25,1,0
0,76,1,0,0,0,94,1,0
1,67,15,0,1,0,89.85,2,0
1,79,8,0,0,0,105.5,3,0
0,78,7,0,1,0,73.75,2,0
0,79,9,0,1,0,54.55,1,0
1,78,37,0,1,0,76.25,3,0
1,71,3,0,1,0,70.4,3,0
1,76,48,0,0,0,117.45,1,0
0,65,8,1,1,0,29.4,1,0
0,75,37,0,1,0,85.7,2,0
1,75,28,0,0,0,106.15,1,0
0,69,36,0,1,0,90.85,1,0
1,68,4,0,1,0,46,1,0
1,66,8,0,0,0,94.45,1,0
0,65,50,0,0,0,95.7,3,0
1,77,61,0,0,0,104.4,1,0
1,66,40,1,1,0,39.3,3,0
0,72,2,0,1,0,44.7,1,0
0,77,10,0,0,0,85.55,1,0
1,66,16,0,1,0,85.35,2,0
1,80,2,0,0,0,79.6,3,0
0,68,19,0,1,0,90.6,1,0
0,78,7,0,0,0,94.7,1,0
0,74,3,0,1,0,77,1,0
1,74,40,0,0,0,99.2,3,0
0,65,47,0,0,1,85.5,3,0
1,70,15,0,1,0,75.3,3,0
0,70,24,0,0,0,104.25,1,0
0,75,15,0,1,0,80.2,1,0
0,70,1,0,1,0,69.65,2,0
0,71,36,0,0,0,84.1,1,0
1,79,34,0,1,0,79.6,1,0
1,79,1,1,1,0,36.45,3,0
1,73,47,0,1,1,80.35,1,0
1,74,24,1,0,0,40.65,1,0
1,80,43,0,1,1,107.55,2,0
0,69,16,0,1,0,98.75,2,0
1,71,5,0,1,0,69.05,3,0
0,73,37,0,0,0,101.1,1,0
1,79,5,1,0,0,45.7,3,0
1,67,28,0,0,0,101.3,3,0
0,72,10,0,1,1,92.5,1,0
1,75,1,0,1,0,74.45,3,0
1,76,10,1,1,1,29.65,2,0
1,69,3,0,1,0,70.3,3,0
0,76,12,0,0,0,99.45,3,0
1,68,26,0,1,0,89.15,1,0
1,77,1,1,1,0,24.8,1,0
1,67,20,0,0,0,61.6,1,0
0,67,32,0,1,0,96.15,2,0
1,76,1,0,1,0,69.55,2,0
1,66,5,0,1,1,84.85,1,0
0,80,1,0,1,0,73.65,3,0
1,78,6,0,0,0,84.35,3,0
1,69,1,0,1,0,46,1,0
0,78,15,0,0,0,79.4,1,0
0,78,16,0,1,0,71.8,1,0
0,68,44,0,0,0,88.4,3,0
1,75,3,0,1,0,83.9,1,0
1,70,1,0,1,1,69.85,1,0
1,65,26,0,0,0,84.95,3,0
0,71,22,0,1,0,90.5,1,0
1,72,40,1,0,1,55.8,1,0
0,69,1,0,1,1,20.05,1,0
1,70,10,0,0,0,84.6,3,0
1,80,1,0,1,1,20.85,3,0
1,73,58,0,0,0,105.5,1,0
0,73,6,0,1,0,85.15,2,0
0,79,71,0,0,0,105.1,1,0
1,79,20,0,1,0,90.8,1,0
1,73,27,0,0,0,104.3,1,0
1,77,13,0,1,1,70.15,2,0
1,68,68,0,0,0,96.55,1,0
1,70,1,0,1,0,69.65,3,0
1,68,1,0,0,0,89.3,1,0
1,76,15,0,0,1,96.3,1,0
0,68,9,0,0,1,85.05,3,0
0,80,1,0,1,0,70.3,1,0
0,79,70,1,1,0,45.25,2,0
0,78,20,0,1,0,71.3,2,0
0,76,21,0,1,0,69.1,2,0
1,65,1,0,0,0,86,1,0
0,80,46,1,0,1,59.9,3,0
1,65,14,0,1,0,78.95,1,0
1,78,47,0,1,0,85.2,1,0
0,78,13,0,0,0,98,1,0
0,68,3,0,0,0,105,3,0
1,73,26,0,1,0,93.85,2,0
1,75,8,0,0,0,84,3,0
0,66,18,0,0,0,78.55,3,0
0,73,4,1,1,0,25.2,3,0
1,73,15,0,1,0,55,1,0
0,70,3,0,0,0,94.6,1,0
0,74,53,0,0,0,103.85,1,0
0,70,68,0,0,0,105.3,3,0
0,71,25,0,1,0,88.95,2,0
0,66,66,0,0,0,110.85,1,0
0,68,27,1,0,1,36.5,1,0
0,73,29,0,0,0,94.45,1,0
1,77,1,0,1,0,90.6,2,0
0,73,2,0,1,1,86.85,1,0
1,65,29,0,0,0,99.05,1,0
0,65,19,0,0,0,95.9,1,0
1,78,47,0,1,0,95.05,2,0
0,69,52,0,0,0,104.2,1,0
1,67,11,0,1,0,95.15,2,0
0,74,43,0,0,0,89.55,1,0
0,77,46,0,0,0,85,1,0
1,79,6,0,0,0,98.25,3,0
1,68,1,1,1,0,25.7,1,0
1,76,1,0,1,0,76.4,2,0
0,80,22,1,0,0,40.05,1,0
1,72,1,0,1,0,73,1,0
0,78,33,0,1,0,83.85,2,0
1,67,2,0,1,0,70.65,1,0
1,74,26,0,0,1,95,1,0
1,68,60,0,0,1,106,3,0
1,66,38,0,1,0,74.95,1,0
0,71,1,0,1,0,49.25,3,0
0,65,7,0,0,0,101.95,1,0
0,65,2,0,0,0,94,1,0
1,69,51,0,1,0,77.5,1,0
0,68,1,0,1,0,74.4,2,0
0,68,47,0,0,0,100.05,1,0
0,76,40,0,0,0,101.85,1,0
0,74,1,1,1,0,25.05,1,0
0,79,2,0,1,0,74.85,2,0
1,69,42,0,0,0,104.75,1,0
1,74,2,0,0,1,79.75,3,0
1,71,14,0,0,0,100.2,1,0
0,69,66,0,0,0,110.9,3,0
0,74,1,0,1,1,76.45,3,0
1,79,12,0,1,0,91.3,2,0
0,69,6,0,0,0,95.75,3,0
0,80,27,0,1,0,81.45,3,0
0,65,3,0,1,0,91.05,2,0
1,78,2,0,1,0,79.2,3,0
1,75,14,0,1,0,74.3,3,0
0,73,57,0,0,0,100.6,1,0
1,80,64,0,1,0,70.2,1,0
1,74,2,0,1,0,70.75,2,0
1,65,40,0,1,0,79.2,1,0
1,71,1,0,1,0,85,2,0
0,74,37,0,0,0,92.5,1,0
0,76,4,0,1,0,74.95,2,0
0,73,55,0,1,0,98.8,2,0
0,71,32,0,0,0,80.3,1,0
1,72,66,0,1,1,80.45,2,0
0,76,6,0,1,0,84.2,2,0
1,69,4,0,0,0,88.85,3,0
1,80,3,1,1,0,25.3,3,0
1,78,8,0,0,0,101.35,3,0
0,71,3,0,1,0,105.9,2,0
0,73,43,0,0,0,103,1,0
1,79,13,0,1,0,82,2,0
1,72,27,0,0,0,101.25,1,0
0,69,25,0,1,0,89.5,1,0
1,79,22,0,1,1,74.4,1,0
1,68,18,0,1,0,99.75,2,0
1,77,56,0,0,0,111.95,3,0
0,68,16,1,1,0,39,1,0
1,79,50,0,1,1,88.05,3,0
1,68,3,0,1,0,75.05,1,0
1,73,1,0,1,1,74.45,2,0
0,79,1,0,1,0,75.75,1,0
0,75,4,0,1,1,74.4,2,0
1,69,71,0,1,0,96.35,4,1
0,79,2,0,0,1,95.5,5,1
0,71,1,0,1,0,45.25,3,1
1,65,43,0,1,0,90.25,4,1
1,65,25,0,1,0,69.5,4,1
1,72,60,0,0,0,74.85,3,1
0,77,66,0,0,0,108.45,5,1
0,71,64,0,0,0,111.6,4,1
1,73,56,0,0,0,110.5,4,1
0,80,30,0,0,0,74.75,4,1
0,79,1,0,0,0,74.7,5,1
1,65,66,1,0,0,45.55,5,1
0,73,71,1,0,0,56.45,3,1
1,71,72,0,0,0,88.05,3,1
0,66,71,0,1,1,23.95,3,1
0,66,23,0,0,0,86.8,3,1
1,77,65,0,0,0,94.4,4,1
1,68,13,0,1,0,54.8,4,1
0,66,4,0,1,0,75.35,3,1
1,69,29,1,0,0,45,3,1
0,79,57,0,0,0,89.85,5,1
1,67,19,0,0,1,105,3,1
0,68,20,0,0,0,107.05,3,1
0,79,21,0,0,0,64.95,4,1
1,77,6,0,0,0,89.35,3,1
0,73,35,0,0,0,100.8,5,1
0,71,38,0,0,0,101.15,5,1
1,67,5,0,1,0,69.35,4,1
1,68,11,0,1,0,82.9,4,1
1,75,28,1,0,1,35.9,5,1
1,79,17,0,1,0,82.65,4,1
1,69,32,0,0,1,54.65,5,1
1,72,1,0,1,0,72.1,4,1
1,69,64,0,0,0,97,3,1
1,72,7,0,0,0,89.15,5,1
1,70,16,0,1,0,54.1,3,1
0,78,72,1,0,0,64.8,3,1
0,77,27,0,0,0,84.8,3,1
1,73,2,0,1,0,44.3,3,1
1,76,42,0,0,1,95.05,4,1
0,78,33,0,0,0,109.9,3,1
0,74,33,1,0,0,54.6,4,1
0,71,32,0,0,0,93.95,5,1
1,72,48,0,1,0,70.65,3,1
1,75,55,0,1,0,51.65,3,1
0,79,52,0,0,0,105.1,4,1
1,76,49,0,0,0,101.55,3,1
1,78,22,0,0,0,69.75,3,1
0,75,72,0,0,1,116.05,3,1
0,66,64,0,0,0,102.1,4,1
1,71,17,0,1,1,20.65,4,1
0,77,35,0,0,0,76.05,5,1
1,74,20,0,0,0,81.45,5,1
0,73,61,0,0,0,64.05,4,1
1,73,71,0,1,0,80.7,3,1
0,78,20,0,0,0,94.3,3,1
1,79,5,0,1,0,70.05,4,1
0,77,29,0,0,0,51.6,5,1
0,77,72,0,0,1,115.75,4,1
1,80,56,0,1,0,99.9,3,1
0,80,68,0,0,1,107.15,5,1
0,80,50,0,1,0,101.9,3,1
0,74,47,0,1,0,59.6,3,1
1,76,28,0,0,0,110.85,4,1
0,68,35,0,0,0,94.55,3,1
1,71,44,0,0,0,109.8,3,1
1,69,66,0,0,1,102.85,3,1
0,73,10,1,0,0,34.55,4,1
1,74,66,0,0,0,104.6,3,1
1,72,72,0,0,0,111.65,5,1
1,70,49,0,0,0,89.85,4,1
0,74,24,0,1,1,70,3,1
0,80,65,0,0,0,110.35,3,1
1,74,40,0,0,0,103.75,3,1
1,65,22,0,1,1,20.05,3,1
0,72,47,0,1,1,84.95,3,1
0,76,27,0,0,0,104.65,4,1
0,75,68,0,1,0,80.35,4,1
0,70,9,0,1,1,21.25,4,1
0,66,42,0,1,0,79.35,4,1
1,68,72,0,0,0,89.85,3,1
1,69,72,0,0,0,110.8,5,1
0,75,72,0,0,0,114.95,3,1
1,74,3,0,1,1,75.05,4,1
1,72,70,0,1,0,75.65,4,1
0,65,5,0,0,1,20.05,5,1
0,70,60,0,0,0,93.25,3,1
0,65,26,0,0,1,19.3,5,1
1,66,7,0,1,1,84.35,3,1
1,70,27,0,0,0,110.5,3,1
0,77,32,0,1,0,81.1,4,1
1,72,15,0,1,0,89,4,1
1,67,23,0,1,1,75.4,4,1
1,77,22,0,1,0,81.7,4,1
1,73,4,0,1,0,83.25,3,1
1,66,32,0,0,0,91.35,5,1
0,80,7,1,1,0,29.8,3,1
0,76,8,0,1,0,60.9,3,1
1,80,56,0,0,0,73.25,3,1
1,69,53,0,0,0,95.85,3,1
0,69,23,0,0,1,20.75,5,1
1,73,5,0,1,0,84.7,4,1
1,67,45,0,0,0,86.1,4,1
1,69,60,0,0,0,110,5,1
1,80,72,0,0,0,112.4,3,1
0,68,20,0,1,0,54,4,1
1,71,59,0,0,0,79.2,5,1
0,74,46,0,0,0,98.85,5,1
1,69,71,0,0,1,89.85,3,1
0,70,47,0,1,0,86.05,3,1
1,73,72,0,0,0,114.65,3,1
0,73,14,0,0,1,19.65,5,1
0,65,11,0,0,0,75.2,5,1
1,65,62,0,0,0,97.95,5,1
1,67,23,0,0,0,95.1,3,1
1,72,71,0,0,0,82.7,3,1
0,68,70,1,1,0,44.05,3,1
1,77,32,0,0,0,100.4,3,1
0,71,43,0,1,0,94.3,3,1
1,75,71,0,0,0,104.05,5,1
1,70,20,0,0,0,60,5,1
0,77,61,0,1,0,98.3,3,1
0,76,23,0,0,1,90.45,4,1
1,67,55,0,1,0,88.8,3,1
1,67,45,1,0,1,34.2,3,1
0,71,56,0,0,0,94.8,4,1
1,66,4,0,1,1,80.25,4,1
0,75,49,0,1,0,88.2,4,1
1,78,71,0,1,0,99.4,3,1
1,74,72,0,0,0,114.85,3,1
0,75,72,0,0,0,84.45,3,1
1,71,20,0,0,0,80.7,5,1
0,66,61,0,1,0,82.15,3,1
0,79,29,0,0,1,101.45,4,1
1,69,18,0,1,0,49.85,3,1
0,70,71,0,1,0,92,3,1
0,69,44,0,0,1,73.85,5,1
1,68,65,0,0,0,109.4,3,1
1,66,58,0,0,0,97.8,3,1
1,67,6,0,1,1,19.5,3,1
0,69,52,1,0,0,48.8,3,1
1,73,69,0,0,0,105.4,4,1
1,74,13,0,0,0,96.85,4,1
1,70,71,0,0,0,99.2,4,1
1,73,66,0,0,0,70.85,5,1
0,79,64,0,0,0,94.25,3,1
1,74,45,0,0,0,102.15,4,1
1,74,23,0,0,0,88.45,5,1
0,68,7,0,1,0,64.2,4,1
0,75,6,0,0,1,80.8,5,1
0,77,4,0,1,0,69.35,3,1
0,75,11,0,0,1,111.4,3,1
1,78,68,0,0,0,60.65,5,1
1,73,21,0,0,1,71.7,5,1
1,75,65,1,0,0,53.5,3,1
1,66,50,0,0,0,106.8,3,1
1,67,7,0,1,0,64.95,4,1
0,67,72,0,0,1,104.1,3,1
1,68,30,0,0,0,90.05,5,1
0,79,38,0,0,0,102.6,4,1
0,71,60,0,1,0,80.95,4,1
1,69,65,0,0,0,108.8,5,1
1,70,67,0,0,0,105.4,4,1
0,72,7,0,1,0,45.75,4,1
0,71,27,0,1,0,70.55,3,1
1,68,55,0,1,0,90.45,4,1
1,74,3,0,1,0,73.85,4,1
0,69,30,0,1,0,69.1,3,1
1,76,2,0,1,0,83.8,3,1
1,79,17,0,0,0,94.2,4,1
0,80,61,0,0,0,99,5,1
0,75,52,0,0,0,110.75,5,1
1,70,72,0,1,0,96.6,4,1
1,76,44,0,0,0,74.85,5,1
0,67,65,0,0,0,109.05,3,1
0,77,72,0,0,1,25,5,1
0,80,60,0,0,0,104.35,4,1
1,79,26,0,0,0,66.05,5,1
1,79,42,0,0,0,105.2,3,1
1,66,23,0,0,0,79.35,5,1
0,65,72,0,0,0,98.35,3,1
1,73,22,0,1,0,63.55,3,1
0,69,54,0,0,0,90.05,5,1
1,78,47,0,1,0,67.45,3,1
1,78,52,1,1,0,50.5,3,1
1,76,26,0,0,0,60.7,5,1
0,71,48,0,0,0,99,4,1
0,72,4,1,0,0,50.95,3,1
1,70,72,0,0,0,89.1,3,1
1,71,22,0,0,0,85.35,5,1
0,74,24,0,0,1,54.8,5,1
0,75,31,0,0,1,90.7,5,1
1,65,9,0,1,0,75.5,3,1
0,80,71,0,0,0,105.75,4,1
0,76,1,0,0,0,74.3,5,1
1,73,1,0,1,1,70.6,4,1
1,67,28,0,1,0,64.45,4,1
0,66,16,0,1,0,69.65,3,1
0,65,65,0,0,0,103.15,3,1
0,76,56,0,0,1,101.05,3,1
0,79,72,0,0,0,84.1,3,1
0,76,11,0,1,0,70.2,3,1
0,77,30,0,0,0,74.85,5,1
1,71,59,0,1,1,94.05,3,1
0,75,72,0,0,0,102.65,3,1
0,75,71,0,0,0,95.5,4,1
0,71,56,0,0,0,85.65,3,1
0,72,34,0,0,0,99.85,5,1
1,76,64,0,0,0,108.95,4,1
0,70,20,0,0,0,89.95,4,1
1,73,70,0,0,0,104.45,4,1
0,78,5,0,1,0,71.45,4,1
1,74,72,0,0,0,89.55,3,1
1,73,66,0,0,0,100.8,4,1
0,69,72,0,1,1,74.4,4,1
0,73,72,0,1,0,93.05,3,1
0,79,52,0,0,0,104.45,3,1
1,72,40,0,0,0,91.55,3,1
1,75,44,0,0,0,104.15,4,1
1,68,7,0,1,0,48.2,3,1
0,66,72,0,0,1,25.1,5,1
1,74,8,0,0,0,100.15,4,1
0,78,8,0,0,0,64.4,5,1
